GENE_NAME,UniProt_ID,PDB_ID,CHAIN,RESIDUE_RANGE
ABO,P16442,1WT2,A,64-354
ABO,P16442,1WT3,A,64-354
ABO,P16442,1XZ6,A,64-354
ABO,P16442,1ZHJ,A,64-354
ABO,P16442,1ZI1,A,64-354
ABO,P16442,1ZI3,A,64-354
ABO,P16442,1ZI4,A,64-354
ABO,P16442,1ZI5,A,64-354
ABO,P16442,1ZIZ,A,64-354
ABO,P16442,1ZJ0,A,64-354
ABO,P16442,1ZJ1,A,64-354
ABO,P16442,1ZJ2,A,64-354
ABO,P16442,1ZJ3,A,64-354
ABO,P16442,1ZJO,A,64-354
ABO,P16442,1ZJP,A,64-354
ABO,P16442,2A8U,A,64-354
ABO,P16442,2A8W,A,64-354
ABO,P16442,2I7B,A,64-354
ABO,P16442,2O1F,A,64-354
ABO,P16442,2O1G,A,64-354
ABO,P16442,2O1H,A,64-354
ABO,P16442,2PGV,A,64-354
ABO,P16442,2PGY,A,64-354
ABO,P16442,2RIT,A,64-354
ABO,P16442,2RIX,A,64-354
ABO,P16442,2RIY,A,64-354
ABO,P16442,2RIZ,A,64-354
ABO,P16442,2RJ0,A,64-354
ABO,P16442,2RJ1,A,64-354
ABO,P16442,2RJ4,A,64-354
ABO,P16442,2RJ5,A,64-354
ABO,P16442,2RJ6,A,64-354
ABO,P16442,2RJ7,A,64-354
ABO,P16442,2RJ8,A,64-354
ABO,P16442,2RJ9,A,64-354
ABO,P16442,2Y7A,A/B/C/D,64-354
ABO,P16442,3I0C,A,69-354
ABO,P16442,3I0D,A,69-354
ABO,P16442,3I0E,A,69-354
ABO,P16442,3I0F,A,69-354
ABO,P16442,3I0G,A,69-354
ABO,P16442,3I0H,A,69-354
ABO,P16442,3I0I,X,69-354
ABO,P16442,3I0J,A,69-354
ABO,P16442,3I0K,A,69-354
ABO,P16442,3I0L,A,69-354
ABO,P16442,3IOH,A,64-354
ABO,P16442,3IOI,A,64-354
ABO,P16442,3IOJ,A/B,64-354
ABO,P16442,3SX3,A,64-354
ABO,P16442,3SX5,A,64-354
ABO,P16442,3SX7,A,64-354
ABO,P16442,3SX8,A,64-354
ABO,P16442,3SXA,A,64-354
ABO,P16442,3SXB,A,64-354
ABO,P16442,3SXC,A,64-354
ABO,P16442,3SXD,A,64-354
ABO,P16442,3SXE,A,64-354
ABO,P16442,3SXG,A,64-354
ABO,P16442,3U0X,A/B,64-354
ABO,P16442,3U0Y,A/B,64-354
ABO,P16442,3V0L,A,64-354
ABO,P16442,3V0M,A/B,64-354
ABO,P16442,3V0N,A/B,64-354
ABO,P16442,3V0O,A/B,64-354
ABO,P16442,3V0P,A/B,64-354
ABO,P16442,3V0Q,A/B,64-354
ABO,P16442,3ZGF,A/B,64-354
ABO,P16442,3ZGG,A,64-354
ABO,P16442,4C2S,A/B,64-354
ABO,P16442,4FQW,A,64-354
ABO,P16442,4FRA,A,64-354
ABO,P16442,4FRB,A,64-354
ABO,P16442,4FRD,A,64-354
ABO,P16442,4FRE,A,64-354
ABO,P16442,4FRH,A,64-354
ABO,P16442,4FRL,A,64-354
ABO,P16442,4FRM,A,64-354
ABO,P16442,4FRO,A,64-354
ABO,P16442,4FRP,A,64-354
ABO,P16442,4FRQ,A,64-354
ABO,P16442,4GBP,A,64-354
ABO,P16442,4KC1,A,64-346
ABO,P16442,4KC2,A,64-346
ABO,P16442,4KC4,A,64-346
ABO,P16442,4KXO,A,64-354
ABO,P16442,4Y62,A,1-354
ABO,P16442,4Y63,A,1-354
ABO,P16442,4Y64,A,1-354
ABO,P16442,5BXC,A,64-354
ABO,P16442,5C1G,A,64-354
ABO,P16442,5C1H,A,64-354
ABO,P16442,5C1L,A,64-354
ABO,P16442,5C36,A,64-354
ABO,P16442,5C38,A,64-354
ABO,P16442,5C3A,A,64-354
ABO,P16442,5C3B,A,64-354
ABO,P16442,5C3D,A,64-354
ABO,P16442,5C47,A,64-354
ABO,P16442,5C48,A,64-354
ABO,P16442,5C49,A,64-354
ABO,P16442,5C4B,A,64-354
ABO,P16442,5C4C,A,64-354
ABO,P16442,5C4D,A,64-354
ABO,P16442,5C4E,A,64-354
ABO,P16442,5C4F,A,64-354
ABO,P16442,5C8R,A,64-354
ABO,P16442,5CMF,X,64-345
ABO,P16442,5CMG,X,64-354
ABO,P16442,5CMH,A,64-354
ABO,P16442,5CMI,A,64-354
ABO,P16442,5CMJ,A,64-354
ABO,P16442,5CQL,X,64-354
ABO,P16442,5CQM,X,64-354
ABO,P16442,5CQN,X,64-354
ABO,P16442,5CQO,A,64-354
ABO,P16442,5CQP,A,64-354
ABO,P16442,5M79,A,64-354
ABO,P16442,5M7A,A,64-354
ABO,P16442,5M7B,A,64-354
ABO,P16442,5M7C,A/B,64-354
ABO,P16442,5M7D,A,64-354
ABO,P16442,5TJK,A,64-354
ABO,P16442,5TJL,A,64-354
ABO,P16442,5TJN,A,64-354
ABO,P16442,5TJO,A,64-354
ABO,P16442,6BJI,A,64-354
ABO,P16442,6BJJ,A,64-354
ABO,P16442,6BJK,A,64-354
ABO,P16442,6BJL,A,64-345
ABO,P16442,6BJM,A,64-345
ABO,P16442,6GWY,A,64-354
ABO,P16442,6GWZ,A,64-354
ABO,P16442,6GX0,A,64-354
ABO,P16442,6GX1,A,64-354
ABO,P16442,6GX2,A,64-354
ACACA,Q13085,2YL2,A/B,78-617
ACACA,Q13085,3COJ,H/I/J/K/L/M/N/O,1258-1270
ACACA,Q13085,4ASI,A/B/C/D/E/F,1571-2338
ACACA,Q13085,6G2D,B/C/D/F,1-2346
ACACA,Q13085,6G2H,A/B/C/D/E/F,1-2346
ACACA,Q13085,6G2I,A/B/C/D/E/F/G/J/Q/R,1-2346
ACACA,Q13085,8XKZ,C/D,98-2337
ACACA,Q13085,8XL0,A/B/C/D/E/F,1-2346
ACACA,Q13085,8XL1,A/B,1-2346
ACACA,Q13085,8XL2,A/B/C/D,1-2346
ACACB,O00763,2DN8,A,885-971
ACACB,O00763,2HJW,A,217-775
ACACB,O00763,2KCC,A,891-965
ACACB,O00763,3FF6,A/B/C/D,1693-2450
ACACB,O00763,3GID,A/B,238-760
ACACB,O00763,3GLK,A,238-760
ACACB,O00763,3JRW,A,217-775
ACACB,O00763,3JRX,A,217-775
ACACB,O00763,3TDC,A,1690-2445
ACACB,O00763,4HQ6,A,217-776
ACACB,O00763,5KKN,B/C,238-760
ACAD11,Q709F0,2WBI,A/B,355-780
ACAD8,Q9UKU7,1RX0,A/B/C/D,24-415
ACADL,P28330,8W0T,A/B/C/D,31-430
ACADL,P28330,8W0U,A/B/C/D,31-430
ACADL,P28330,8W0Z,A/B/C/D/E/F/G/H,31-430
ACADM,P11310,1EGC,A/B/C/D,26-421
ACADM,P11310,1EGD,A/B/C/D,26-421
ACADM,P11310,1EGE,A/B/C/D,26-421
ACADM,P11310,1T9G,A/B/C/D,26-421
ACADM,P11310,2A1T,A/B/C/D,1-421
ACADM,P11310,4P13,A/B/C/D,35-421
ACADM,P11310,8SGP,A/B/C/D,1-421
ACADS,P16219,2VIG,A/B/C/D/E/F/G/H,30-412
ACADS,P16219,7Y0A,A/B/C/D,25-412
ACADS,P16219,7Y0B,A/B/C/D,25-412
ACADS,P16219,8SGS,A/B/C/D,1-412
ACADSB,P45954,2JIF,A/B/C/D,52-432
ACADVL,P49748,2UXW,A,72-655
ACADVL,P49748,3B96,A,69-655
ACADVL,P49748,7S7G,A,69-655
ACAN,P16112,4MD4,C,89-103
ACAN,P16112,7RDV,H,91-101
ACAT1,P35610,6L47,A/B,66-550
ACAT1,P35610,6L48,A/B,66-550
ACAT1,P35610,6P2J,A/B,1-550
ACAT1,P35610,6P2P,A/B/C/D,1-550
ACAT1,P35610,6VUM,A/B/C/D,1-550
ACAT2,O75908,7N6Q,A/B/C/D,2-522
ACAT2,O75908,7N6R,A/B/C/D,2-522
ACE,P12821,1O86,A,642-1230
ACE,P12821,1O8A,A,642-1230
ACE,P12821,1UZE,A,642-1230
ACE,P12821,1UZF,A,642-1230
ACE,P12821,2C6F,A/B,30-641
ACE,P12821,2C6N,A/B,30-641
ACE,P12821,2IUL,A,642-1232
ACE,P12821,2IUX,A,642-1232
ACE,P12821,2OC2,A,642-1232
ACE,P12821,2XY9,A,645-1228
ACE,P12821,2XYD,A/B,30-639
ACE,P12821,2YDM,A,642-1230
ACE,P12821,3BKK,A,642-1232
ACE,P12821,3BKL,A,642-1232
ACE,P12821,3L3N,A,642-1232
ACE,P12821,3NXQ,A/B,30-658
ACE,P12821,4APH,A,642-1230
ACE,P12821,4APJ,A,642-1230
ACE,P12821,4BXK,A/B,30-657
ACE,P12821,4BZR,A,642-1230
ACE,P12821,4BZS,A/B,30-657
ACE,P12821,4C2N,A,642-1230
ACE,P12821,4C2O,A,642-1230
ACE,P12821,4C2P,A,642-1230
ACE,P12821,4C2Q,A,642-1230
ACE,P12821,4C2R,A,642-1230
ACE,P12821,4CA5,A,642-1230
ACE,P12821,4CA6,A/B,30-639
ACE,P12821,4UFA,A/B,30-657
ACE,P12821,4UFB,A/B/C/D,30-657
ACE,P12821,5AM8,A/B/C/D,30-658
ACE,P12821,5AM9,A/B/C/D,30-658
ACE,P12821,5AMA,A/B/C/D,30-658
ACE,P12821,5AMB,A/B,30-658
ACE,P12821,5AMC,A/B,30-658
ACE,P12821,6EN5,A/B/C/D,30-657
ACE,P12821,6EN6,A/B/C/D,30-657
ACE,P12821,6F9R,A/B,30-657
ACE,P12821,6F9T,A,642-1232
ACE,P12821,6F9U,A,642-1232
ACE,P12821,6F9V,A/B,30-657
ACE,P12821,6H5W,A,642-1232
ACE,P12821,6H5X,A/B,30-657
ACE,P12821,6QS1,A/B,30-657
ACE,P12821,6TT1,A/B,30-657
ACE,P12821,6TT3,A/B,30-657
ACE,P12821,6TT4,A/B,30-657
ACE,P12821,6ZPQ,A/B/C/D,30-657
ACE,P12821,6ZPT,A/B/C/D,30-657
ACE,P12821,6ZPU,A,642-1238
ACE,P12821,7Q24,A/B,30-657
ACE,P12821,7Q25,A/B,30-657
ACE,P12821,7Q26,A/B,30-657
ACE,P12821,7Q27,A,642-1238
ACE,P12821,7Q28,A,642-1238
ACE,P12821,7Q29,A,642-1238
ACE,P12821,7Q3Y,A,30-1240
ACE,P12821,7Q49,A,30-1240
ACE,P12821,7Q4C,A,30-1240
ACE,P12821,7Q4D,A/B,30-1240
ACE,P12821,7Q4E,A,30-1240
ACE,P12821,7Z6Z,A/B,30-657
ACE,P12821,7Z70,A,642-1238
ACE,P12821,8QFX,A/B/C/D,30-657
ACE,P12821,8QHL,A/B,30-657
ACE,P12821,9GBL,A,642-1238
ACE,P12821,9GBM,A,642-1238
ACE,P12821,9GBN,A,642-1238
ACE,P12821,9GBO,A,642-1238
ACE,P12821,9GBP,A/B,30-657
ACE,P12821,9GBQ,A/B,30-657
ACE,P12821,9GBR,A/B,30-657
ACE,P12821,9GBS,A/B,30-657
ACE2,Q9BYF1,1R42,A,1-615
ACE2,Q9BYF1,1R4L,A,1-615
ACE2,Q9BYF1,2AJF,A/B,19-615
ACE2,Q9BYF1,3D0G,A/B,56-615
ACE2,Q9BYF1,3D0H,A/B,56-615
ACE2,Q9BYF1,3D0I,A/B,56-615
ACE2,Q9BYF1,3KBH,A/B/C/D,19-615
ACE2,Q9BYF1,3SCI,A/B,19-615
ACE2,Q9BYF1,3SCJ,A/B,19-615
ACE2,Q9BYF1,3SCK,A/B,83-615
ACE2,Q9BYF1,3SCL,A/B,83-615
ACE2,Q9BYF1,6ACG,D,19-615
ACE2,Q9BYF1,6ACJ,D,19-615
ACE2,Q9BYF1,6ACK,D,19-615
ACE2,Q9BYF1,6CS2,D,19-615
ACE2,Q9BYF1,6LZG,A,19-614
ACE2,Q9BYF1,6M0J,A,19-615
ACE2,Q9BYF1,6M17,B/D,18-805
ACE2,Q9BYF1,6M18,B/D,18-805
ACE2,Q9BYF1,6M1D,B/D,18-805
ACE2,Q9BYF1,6VW1,A/B,19-615
ACE2,Q9BYF1,7A91,D,19-613
ACE2,Q9BYF1,7A92,D,19-613
ACE2,Q9BYF1,7A94,D,19-615
ACE2,Q9BYF1,7A95,D,19-615
ACE2,Q9BYF1,7A96,D,19-615
ACE2,Q9BYF1,7A97,D/E,19-615
ACE2,Q9BYF1,7A98,D/E/F,19-615
ACE2,Q9BYF1,7BH9,A,19-615
ACE2,Q9BYF1,7CT5,D/E/F,18-805
ACE2,Q9BYF1,7DDO,A,19-615
ACE2,Q9BYF1,7DDP,A,19-615
ACE2,Q9BYF1,7DF4,A,17-615
ACE2,Q9BYF1,7DMU,A/C,18-615
ACE2,Q9BYF1,7DQA,A,1-805
ACE2,Q9BYF1,7DRV,A/B,19-614
ACE2,Q9BYF1,7DWX,B/D,2-805
ACE2,Q9BYF1,7DX4,A,19-615
ACE2,Q9BYF1,7DX5,D,2-805
ACE2,Q9BYF1,7DX6,D,2-805
ACE2,Q9BYF1,7DX7,D,2-805
ACE2,Q9BYF1,7DX8,D/E,2-805
ACE2,Q9BYF1,7DX9,D/E,2-805
ACE2,Q9BYF1,7E7E,A/B,18-615
ACE2,Q9BYF1,7EDJ,I/J/K,1-617
ACE2,Q9BYF1,7EFP,A,19-615
ACE2,Q9BYF1,7EFR,A,19-615
ACE2,Q9BYF1,7EKC,A,19-615
ACE2,Q9BYF1,7EKE,A,19-615
ACE2,Q9BYF1,7EKF,A,19-615
ACE2,Q9BYF1,7EKG,A,19-615
ACE2,Q9BYF1,7EKH,A,19-615
ACE2,Q9BYF1,7FDG,A,1-615
ACE2,Q9BYF1,7FDH,A,1-615
ACE2,Q9BYF1,7FDI,A,1-615
ACE2,Q9BYF1,7FEM,D,18-740
ACE2,Q9BYF1,7JVO,B,766-779
ACE2,Q9BYF1,7KJ2,D,11-615
ACE2,Q9BYF1,7KJ3,D/E,11-615
ACE2,Q9BYF1,7KJ4,D/E/F,11-615
ACE2,Q9BYF1,7KMB,F,19-615
ACE2,Q9BYF1,7KMS,D/E/F,19-615
ACE2,Q9BYF1,7KMZ,D/E,19-615
ACE2,Q9BYF1,7KNB,D,19-615
ACE2,Q9BYF1,7KNE,D,19-615
ACE2,Q9BYF1,7KNH,D/E,19-615
ACE2,Q9BYF1,7KNI,D/E/F,19-615
ACE2,Q9BYF1,7L0N,E/F,19-615
ACE2,Q9BYF1,7L7F,B/D,1-805
ACE2,Q9BYF1,7LO4,A,19-614
ACE2,Q9BYF1,7MJM,D/E,18-615
ACE2,Q9BYF1,7MJN,E,18-615
ACE2,Q9BYF1,7NXC,A,19-615
ACE2,Q9BYF1,7P19,A/B,19-615
ACE2,Q9BYF1,7P55,A,21-42
ACE2,Q9BYF1,7P8I,A/C,19-615
ACE2,Q9BYF1,7P8J,A/C,19-615
ACE2,Q9BYF1,7PKI,A,19-614
ACE2,Q9BYF1,7R0Z,D,19-613
ACE2,Q9BYF1,7R10,D,19-613
ACE2,Q9BYF1,7R11,D,19-613
ACE2,Q9BYF1,7R12,D,19-613
ACE2,Q9BYF1,7R1A,D/E/F,19-613
ACE2,Q9BYF1,7RPV,A/B/C/D,19-615
ACE2,Q9BYF1,7SN0,A/B,1-615
ACE2,Q9BYF1,7SXX,E,18-615
ACE2,Q9BYF1,7SXY,E,18-615
ACE2,Q9BYF1,7SXZ,E,18-615
ACE2,Q9BYF1,7SY0,E,18-615
ACE2,Q9BYF1,7SY1,E,18-615
ACE2,Q9BYF1,7SY2,E,18-615
ACE2,Q9BYF1,7SY3,E,18-615
ACE2,Q9BYF1,7SY4,E,18-615
ACE2,Q9BYF1,7SY5,D/E/F,18-615
ACE2,Q9BYF1,7SY6,E,18-615
ACE2,Q9BYF1,7SY7,E,18-615
ACE2,Q9BYF1,7SY8,E,18-615
ACE2,Q9BYF1,7T9K,D/E,18-615
ACE2,Q9BYF1,7T9L,D,18-615
ACE2,Q9BYF1,7TEW,E,18-615
ACE2,Q9BYF1,7TEX,E,18-615
ACE2,Q9BYF1,7TEZ,E,18-615
ACE2,Q9BYF1,7TF0,E,18-615
ACE2,Q9BYF1,7TN0,E/F,19-615
ACE2,Q9BYF1,7U0N,A/B,19-615
ACE2,Q9BYF1,7UFK,A/B,19-615
ACE2,Q9BYF1,7UFL,A/B,19-615
ACE2,Q9BYF1,7V61,B/D,2-805
ACE2,Q9BYF1,7V7Z,D/E/F,1-617
ACE2,Q9BYF1,7V80,F,1-617
ACE2,Q9BYF1,7V81,D/E,1-617
ACE2,Q9BYF1,7V82,D/E/F,1-617
ACE2,Q9BYF1,7V83,D/E/F,1-617
ACE2,Q9BYF1,7V84,F,1-617
ACE2,Q9BYF1,7V85,F/H,1-617
ACE2,Q9BYF1,7V86,F/G/H,1-617
ACE2,Q9BYF1,7V87,F,1-617
ACE2,Q9BYF1,7V88,F/G,1-617
ACE2,Q9BYF1,7V89,F/G/H,1-617
ACE2,Q9BYF1,7V8A,F/G/H,1-617
ACE2,Q9BYF1,7V8B,F,1-617
ACE2,Q9BYF1,7VIB,A/C,19-615
ACE2,Q9BYF1,7VX4,A,17-615
ACE2,Q9BYF1,7VX5,A,17-615
ACE2,Q9BYF1,7VX9,C,19-615
ACE2,Q9BYF1,7VXA,C,17-615
ACE2,Q9BYF1,7VXB,C,17-615
ACE2,Q9BYF1,7VXC,C,17-615
ACE2,Q9BYF1,7VXD,C,17-615
ACE2,Q9BYF1,7VXF,C,17-615
ACE2,Q9BYF1,7VXK,C,17-615
ACE2,Q9BYF1,7VXM,C,17-615
ACE2,Q9BYF1,7W98,D,17-615
ACE2,Q9BYF1,7W99,B,17-615
ACE2,Q9BYF1,7W9B,A,17-615
ACE2,Q9BYF1,7W9C,A,17-615
ACE2,Q9BYF1,7W9I,A,17-615
ACE2,Q9BYF1,7WBL,A,19-614
ACE2,Q9BYF1,7WBP,A,19-614
ACE2,Q9BYF1,7WBQ,A/C,19-614
ACE2,Q9BYF1,7WGB,D/F,19-612
ACE2,Q9BYF1,7WGC,A,19-612
ACE2,Q9BYF1,7WHH,A,19-615
ACE2,Q9BYF1,7WK4,A,17-615
ACE2,Q9BYF1,7WK5,A,17-615
ACE2,Q9BYF1,7WK6,A,17-615
ACE2,Q9BYF1,7WNM,B,1-740
ACE2,Q9BYF1,7WPA,D,1-805
ACE2,Q9BYF1,7WPB,D,1-805
ACE2,Q9BYF1,7WPC,D,1-805
ACE2,Q9BYF1,7WS8,D/E,19-613
ACE2,Q9BYF1,7WS9,D,19-613
ACE2,Q9BYF1,7WSA,D,19-613
ACE2,Q9BYF1,7WVP,A,17-615
ACE2,Q9BYF1,7WVQ,A,17-615
ACE2,Q9BYF1,7XAZ,A/C,19-614
ACE2,Q9BYF1,7XB0,A,19-614
ACE2,Q9BYF1,7XB1,A,19-614
ACE2,Q9BYF1,7XBF,A/C,18-615
ACE2,Q9BYF1,7XBG,A/C,18-615
ACE2,Q9BYF1,7XBH,A,18-619
ACE2,Q9BYF1,7XCH,D/E,19-614
ACE2,Q9BYF1,7XCI,A,19-614
ACE2,Q9BYF1,7XCP,A,19-614
ACE2,Q9BYF1,7XID,D/E,2-805
ACE2,Q9BYF1,7XO7,E/F,1-805
ACE2,Q9BYF1,7XO8,D/E/F,1-805
ACE2,Q9BYF1,7XO9,D,1-805
ACE2,Q9BYF1,7XWA,A/C,19-617
ACE2,Q9BYF1,7Y1Y,D/F/H,19-615
ACE2,Q9BYF1,7Y1Z,D/F/H,19-615
ACE2,Q9BYF1,7Y20,D/F,19-615
ACE2,Q9BYF1,7Y21,D/F/H,19-615
ACE2,Q9BYF1,7Y75,A/C,2-805
ACE2,Q9BYF1,7Y76,A/C,2-805
ACE2,Q9BYF1,7Y9Z,D,19-614
ACE2,Q9BYF1,7YA0,D/E/F,19-614
ACE2,Q9BYF1,7YA1,A,19-614
ACE2,Q9BYF1,7YDI,A,19-615
ACE2,Q9BYF1,7YEG,E/J/M,19-615
ACE2,Q9BYF1,7YHW,A,19-614
ACE2,Q9BYF1,7YJ3,A,19-614
ACE2,Q9BYF1,7YR2,A,19-615
ACE2,Q9BYF1,7YR3,D/G,19-615
ACE2,Q9BYF1,7YR4,A,19-615
ACE2,Q9BYF1,7ZDQ,A,19-615
ACE2,Q9BYF1,7ZF7,A,19-615
ACE2,Q9BYF1,8AQS,B,19-620
ACE2,Q9BYF1,8ASY,A,19-615
ACE2,Q9BYF1,8B9P,A/B,19-615
ACE2,Q9BYF1,8BFW,A/C,19-615
ACE2,Q9BYF1,8BN1,A/B,19-615
ACE2,Q9BYF1,8BYJ,A/B,19-615
ACE2,Q9BYF1,8DF5,E/F,1-805
ACE2,Q9BYF1,8DLJ,E,18-615
ACE2,Q9BYF1,8DLK,E,18-615
ACE2,Q9BYF1,8DLM,E,18-615
ACE2,Q9BYF1,8DLN,E,18-615
ACE2,Q9BYF1,8DLP,D/E/F,18-615
ACE2,Q9BYF1,8DLQ,E,18-615
ACE2,Q9BYF1,8DLU,D/E,18-615
ACE2,Q9BYF1,8DLV,E,18-615
ACE2,Q9BYF1,8DM5,D/E,18-615
ACE2,Q9BYF1,8DM6,D,18-615
ACE2,Q9BYF1,8DV1,D,18-740
ACE2,Q9BYF1,8DV2,D,18-740
ACE2,Q9BYF1,8E7M,A,1-615
ACE2,Q9BYF1,8FXB,A,19-615
ACE2,Q9BYF1,8FXC,A,19-615
ACE2,Q9BYF1,8H06,A,19-614
ACE2,Q9BYF1,8H5C,A,19-614
ACE2,Q9BYF1,8HRK,A,19-615
ACE2,Q9BYF1,8HRL,A,19-615
ACE2,Q9BYF1,8HRN,A,17-615
ACE2,Q9BYF1,8HRU,A,17-615
ACE2,Q9BYF1,8I91,A/C,2-805
ACE2,Q9BYF1,8I92,A/C,2-805
ACE2,Q9BYF1,8I93,A/C,20-768
ACE2,Q9BYF1,8I9B,D/E/F,19-615
ACE2,Q9BYF1,8I9C,D/E/F,19-615
ACE2,Q9BYF1,8I9D,D/E/F,19-615
ACE2,Q9BYF1,8I9E,A,19-615
ACE2,Q9BYF1,8I9F,A,19-615
ACE2,Q9BYF1,8I9G,D,19-615
ACE2,Q9BYF1,8I9H,A,19-615
ACE2,Q9BYF1,8IF2,A,19-617
ACE2,Q9BYF1,8IOU,D,19-617
ACE2,Q9BYF1,8IOV,A,19-617
ACE2,Q9BYF1,8JJE,A,1-615
ACE2,Q9BYF1,8JWH,A,19-615
ACE2,Q9BYF1,8JYN,D,19-617
ACE2,Q9BYF1,8JYO,D/E,19-617
ACE2,Q9BYF1,8JYP,D,19-617
ACE2,Q9BYF1,8P2W,A,1-805
ACE2,Q9BYF1,8P2X,A/B,1-805
ACE2,Q9BYF1,8P2Y,A/B,1-805
ACE2,Q9BYF1,8P2Z,A,1-805
ACE2,Q9BYF1,8P30,A/B,1-805
ACE2,Q9BYF1,8P31,A/B,1-805
ACE2,Q9BYF1,8QSQ,B,19-615
ACE2,Q9BYF1,8S9G,A,19-615
ACE2,Q9BYF1,8SPH,A/B,19-615
ACE2,Q9BYF1,8SPI,A/B,19-615
ACE2,Q9BYF1,8TOQ,A,18-614
ACE2,Q9BYF1,8TOR,A,18-614
ACE2,Q9BYF1,8TOS,A,18-614
ACE2,Q9BYF1,8TOT,A/B,18-614
ACE2,Q9BYF1,8TOU,A,18-614
ACE2,Q9BYF1,8UZE,A/B,"59-77, A/B=103-321, A/B=368-615"
ACE2,Q9BYF1,8VKO,D/E/F,18-615
ACE2,Q9BYF1,8VKP,D,18-615
ACE2,Q9BYF1,8VQR,A/B,"56-77, A/B=98-334, A/B=416-615"
ACE2,Q9BYF1,8WBY,B/C,1-805
ACE2,Q9BYF1,8WBZ,B/C,1-805
ACE2,Q9BYF1,8WDR,A/C,1-805
